Pokémon,Sentiment,Sentiment_stemmed,Type,HP,Attack,Defense,SpAtk,SpDef,Speed,Total,Generation,Legendary,Tokens,Tokens_stemmed
Voltorb,5.8788888888888895,5.9028,Electric,40,30,50,55,55,100,330,I,None,"['voltorb', 'spherical', 'pokémon', 'resembles', 'poké', 'ball', 'eyes', 'minus', 'button', 'top', 'half', 'red', 'bottom', 'half', 'white', 'resemblance', 'poké', 'balls', 'thought', 'created', 'one', 'exposed', 'energy', 'pulse', 'supported', 'fact', 'components', 'occur', 'naturally', 'voltorb', 'generally', 'found', 'power', 'plants', 'areas', 'electric', 'fields', 'first', 'discovered', 'plant', 'modern', 'poké', 'balls', 'invented', 'volatile', 'temperament', 'explode', 'bumped', 'agitated']","['voltorb', 'spheric', 'pokémon', 'resembl', 'poké', 'ball', 'eye', 'minu', 'button', 'top', 'half', 'red', 'bottom', 'half', 'white', 'resembl', 'poké', 'ball', 'thought', 'creat', 'one', 'expos', 'energi', 'puls', 'support', 'fact', 'compon', 'occur', 'natur', 'voltorb', 'gener', 'found', 'power', 'plant', 'area', 'electr', 'field', 'first', 'discov', 'plant', 'modern', 'poké', 'ball', 'invent', 'volatil', 'tempera', 'explod', 'bump', 'agit']"
Electrode,5.7164705882352935,5.585263157894738,Electric,60,50,70,80,80,140,480,I,None,"['electrode', 'round', 'pokémon', 'resembling', 'reverse-colored', 'poké', 'ball', 'mouth', 'eyes', 'top', 'half', 'white', 'lower', 'half', 'red', 'reason', 'many', 'trainers', 'try', 'pick', 'mistaking', 'item', 'pocket', 'monsters', 'carddass', 'trading', 'cards', 'depict', 'electrode', 'hollow', 'many', 'know', 'nickname', 'bomb', 'ball', 'electrode', 'tends', 'live', 'power', 'plants', 'fresh', 'electricity', 'generated', 'consumes', 'result', 'often', 'causes', 'blackouts', 'electric', 'energy', 'electrode', 'consumes', 'faster', 'moves', 'electrode', 'explodes', 'response', 'even', 'smallest', 'stimulation', 'simply', 'entertain', 'taken', 'much', 'electricity', 'full', 'stored', 'electricity', 'known', 'drift', 'wind']","['electrod', 'round', 'pokémon', 'resembl', 'reverse-color', 'poké', 'ball', 'mouth', 'eye', 'top', 'half', 'white', 'lower', 'half', 'red', 'reason', 'mani', 'trainer', 'tri', 'pick', 'mistak', 'item', 'pocket', 'monster', 'carddass', 'trade', 'card', 'depict', 'electrod', 'hollow', 'mani', 'know', 'nicknam', 'bomb', 'ball', 'electrod', 'tend', 'live', 'power', 'plant', 'fresh', 'electr', 'gener', 'consum', 'result', 'often', 'caus', 'blackout', 'electr', 'energi', 'electrod', 'consum', 'faster', 'move', 'electrod', 'explod', 'respons', 'even', 'smallest', 'stimul', 'simpli', 'entertain', 'taken', 'much', 'electr', 'full', 'store', 'electr', 'known', 'drift', 'wind']"
Exeggcute,5.632933333333333,5.5770967741935475,"('Grass', 'Psychic')",60,40,80,60,45,40,325,I,None,"['exeggcute', 'pokémon', 'resembling', 'six', 'light', 'pink', 'eggs', 'usually', 'seen', 'arranged', 'five', 'heads', 'huddled', 'around', 'sixth', 'head', 'slightly', 'different', 'facial', 'expression', 'face', 'triangular', 'eyes', 'tiny', 'black', 'pupils', 'small', 'mouth', 'shell', 'cracks', 'one', 'member', 'bundle', 'usually', 'yellow', 'insides', 'brain', 'exposed', 'numerous', 'cracks', 'sign', 'close', 'evolution', 'despite', 'looking', 'like', 'eggs', 'exeggcute', 'actually', 'closely', 'related', 'plant', 'seeds', 'believed', 'carry', 'genes', 'plants', 'species', 'exeggcute', 'gathers', 'swarms', 'six', 'heads', 'communicate', 'using', 'form', 'telepathy', 'understand', 'number', 'exeggcute', 'reduced', 'less', 'six', 'remaining', 'exeggcute', 'attempt', 'replace', 'similarly', 'sized', 'pokémon', 'seen', 'anime', 'pidgeotto', 'crabrawler', 'natural', 'predators', 'chases', 'psychokinesis', 'exeggcute', 'inhabits', 'jungles', 'forests', 'alola', 'region', 'tends', 'heavier', 'due', 'shells', 'packed', 'full', 'exeggcute', 'evolved', 'form', 'exeggutor', 'known', 'pokémon', 'learn', 'barrage']","['exeggcut', 'pokémon', 'resembl', 'six', 'light', 'pink', 'egg', 'usual', 'seen', 'arrang', 'five', 'head', 'huddl', 'around', 'sixth', 'head', 'slightli', 'differ', 'facial', 'express', 'face', 'triangular', 'eye', 'tini', 'black', 'pupil', 'small', 'mouth', 'shell', 'crack', 'one', 'member', 'bundl', 'usual', 'yellow', 'insid', 'brain', 'expos', 'numer', 'crack', 'sign', 'close', 'evolut', 'despit', 'look', 'like', 'egg', 'exeggcut', 'actual', 'close', 'relat', 'plant', 'seed', 'believ', 'carri', 'gene', 'plant', 'speci', 'exeggcut', 'gather', 'swarm', 'six', 'head', 'commun', 'use', 'form', 'telepathi', 'understand', 'number', 'exeggcut', 'reduc', 'less', 'six', 'remain', 'exeggcut', 'attempt', 'replac', 'similarli', 'size', 'pokémon', 'seen', 'anim', 'pidgeotto', 'crabrawl', 'natur', 'predat', 'chase', 'psychokinesi', 'exeggcut', 'inhabit', 'jungl', 'forest', 'alola', 'region', 'tend', 'heavier', 'due', 'shell', 'pack', 'full', 'exeggcut', 'evolv', 'form', 'exeggutor', 'known', 'pokémon', 'learn', 'barrag']"
Exeggutor,5.623797468354431,5.669999999999999,"('Grass', 'Psychic')",95,95,85,125,65,55,520,I,None,"['exeggutor', 'tall', 'bipedal', 'pokémon', 'resembles', 'palm', 'tree', 'body', 'legs', 'light', 'brown', 'thin', 'black', 'rings', 'legs', 'thick', 'two-toed', 'feet', 'light', 'yellow', 'paw', 'pad', 'foot', 'underside', 'thin', 'green', 'leaves', 'sprouting', 'top', 'body', 'exeggutor', 'three', 'six', 'round', 'light', 'yellow', 'heads', 'resemble', 'coconuts', 'differing', 'facial', 'expressions', 'head', 'thinks', 'independently', 'others', 'makes', 'lot', 'noise', 'head', 'speaks', 'mind', 'heads', 'want', 'go', 'different', 'direction', 'body', 'unable', 'move', 'able', 'communicate', 'telepathically', 'well', 'sometimes', 'use', 'come', 'joint', 'decision', 'uses', 'psychic', 'powers', 'fight', 'since', 'three', 'heads', 'capable', 'power', 'tripled', 'one', 'heads', 'grows', 'large', 'falls', 'groups', 'back', 'together', 'become', 'exeggcute', 'anime', 'exeggutor', 'also', 'seen', 'groups', 'kind', 'meaning', 'solitary', 'pokémon', 'result', 'evolution', 'via', 'evolutionary', 'stone', 'exeggutor', 'rarely', 'found', 'wild', 'though', 'found', 'forests', 'jungles', 'due', 'abundance', 'sunlight', 'alola', 'region', 'exeggutor', 'grows', 'five', 'times', 'taller', 'regions', 'neck', 'thinner', 'much', 'longer', 'causing', 'resemble', 'palm', 'tree', 'variant', 'exeggutor', 'long', 'tapering', 'tail', 'two', 'leaves', 'fourth', 'light', 'green', 'head', 'tip', 'extra', 'head', 'act', 'defend', 'rear', 'long', 'neck', 'used', 'like', 'whip', 'attack', 'enemies', 'hard', 'head', 'however', 'neck', 'also', 'weak', 'point', 'become', 'dizzy', 'swinging', 'around', 'increased', 'height', 'reduced', 'need', 'psychic', 'defense', 'instead', 'awakened', 'draconic', 'powers', 'people', 'alola', 'claim', 'alolan', 'exeggutor', 'pokémon', 'true', 'form', 'ancient', 'carvings', 'murals', 'depict', 'pokémon', 'extra', 'height', 'makes', 'tallest', 'grass', 'dragon', 'well', 'heaviest', 'grass', 'exeggutor', 'pre-evolved', 'form', 'known', 'pokémon', 'learn', 'barrage', 'alolan', 'exeggutor', 'also', 'known', 'pokémon', 'learn', 'dragon', 'hammer']","['exeggutor', 'tall', 'biped', 'pokémon', 'resembl', 'palm', 'tree', 'bodi', 'leg', 'light', 'brown', 'thin', 'black', 'ring', 'leg', 'thick', 'two-to', 'feet', 'light', 'yellow', 'paw', 'pad', 'foot', 'undersid', 'thin', 'green', 'leav', 'sprout', 'top', 'bodi', 'exeggutor', 'three', 'six', 'round', 'light', 'yellow', 'head', 'resembl', 'coconut', 'differ', 'facial', 'express', 'head', 'think', 'independ', 'other', 'make', 'lot', 'nois', 'head', 'speak', 'mind', 'head', 'want', 'go', 'differ', 'direct', 'bodi', 'unabl', 'move', 'abl', 'commun', 'telepath', 'well', 'sometim', 'use', 'come', 'joint', 'decis', 'use', 'psychic', 'power', 'fight', 'sinc', 'three', 'head', 'capabl', 'power', 'tripl', 'one', 'head', 'grow', 'larg', 'fall', 'group', 'back', 'togeth', 'becom', 'exeggcut', 'anim', 'exeggutor', 'also', 'seen', 'group', 'kind', 'mean', 'solitari', 'pokémon', 'result', 'evolut', 'via', 'evolutionari', 'stone', 'exeggutor', 'rare', 'found', 'wild', 'though', 'found', 'forest', 'jungl', 'due', 'abund', 'sunlight', 'alola', 'region', 'exeggutor', 'grow', 'five', 'time', 'taller', 'region', 'neck', 'thinner', 'much', 'longer', 'caus', 'resembl', 'palm', 'tree', 'variant', 'exeggutor', 'long', 'taper', 'tail', 'two', 'leav', 'fourth', 'light', 'green', 'head', 'tip', 'extra', 'head', 'act', 'defend', 'rear', 'long', 'neck', 'use', 'like', 'whip', 'attack', 'enemi', 'hard', 'head', 'howev', 'neck', 'also', 'weak', 'point', 'becom', 'dizzi', 'swing', 'around', 'increas', 'height', 'reduc', 'need', 'psychic', 'defens', 'instead', 'awaken', 'dracon', 'power', 'peopl', 'alola', 'claim', 'alolan', 'exeggutor', 'pokémon', 'true', 'form', 'ancient', 'carv', 'mural', 'depict', 'pokémon', 'extra', 'height', 'make', 'tallest', 'grass', 'dragon', 'well', 'heaviest', 'grass', 'exeggutor', 'pre-evolv', 'form', 'known', 'pokémon', 'learn', 'barrag', 'alolan', 'exeggutor', 'also', 'known', 'pokémon', 'learn', 'dragon', 'hammer']"
Cubone,5.261880341880347,5.271666666666668,Ground,50,50,95,40,50,35,320,I,None,"['cubone', 'small', 'bipedal', 'pokémon', 'light', 'brown', 'hide', 'covers', 'body', 'except', 'cream-colored', 'belly', 'two', 'small', 'claws', 'one', 'hand', 'serve', 'thumbs', 'one', 'large', 'nail', 'foot', 'make', 'toes', 'two', 'small', 'spikes', 'back', 'short', 'tail', 'head', 'cubone', 'wears', 'skull', 'dead', 'mother', 'helmet', 'much', 'actual', 'face', 'never', 'seen', 'except', 'triangular', 'black', 'eyes', 'small', 'area', 'surrounding', 'skull', 'two', 'rounded', 'horns', 'top', 'head', 'tooth-like', 'point', 'lower', 'sides', 'skull', 'cubone', 'brown', 'snout', 'small', 'cubone', 'survives', 'immense', 'skill', 'possesses', 'wielding', 'bone', 'carries', 'weapon', 'bone', 'allows', 'learn', 'bone', 'club', 'bonemerang', 'two', 'moves', 'exclusive', 'cubone', 'evolution', 'marowak', 'evolution', 'also', 'pokémon', 'capable', 'using', 'thick', 'club', 'item', 'called', 'lonely', 'pokémon', 'tendency', 'keep', 'avoid', 'social', 'situations', 'due', 'trauma', 'caused', 'death', 'mother', 'cubone', 'often', 'weep', 'night', 'mourning', 'mother', 'cubone', 'cries', 'skull', 'wears', 'head', 'vibrates', 'emits', 'plaintive', 'mournful', 'sound', 'night', 'full', 'moon', 'cries', 'said', 'especially', 'terrible', 'cubone', 'seems', 'recognize', 'mother', 'moon', 'howls', 'particular', 'sadness', 'cries', 'attract', 'mandibuzz', 'natural', 'predator', 'cubone', 'lives', 'rocky', 'areas', 'usually', 'mountains', 'caves', 'also', 'inhabited', 'pokémon', 'tower', 'lavender', 'town', 'deceased', 'pokémon', 'buried', 'mourned']","['cubon', 'small', 'biped', 'pokémon', 'light', 'brown', 'hide', 'cover', 'bodi', 'except', 'cream-color', 'belli', 'two', 'small', 'claw', 'one', 'hand', 'serv', 'thumb', 'one', 'larg', 'nail', 'foot', 'make', 'toe', 'two', 'small', 'spike', 'back', 'short', 'tail', 'head', 'cubon', 'wear', 'skull', 'dead', 'mother', 'helmet', 'much', 'actual', 'face', 'never', 'seen', 'except', 'triangular', 'black', 'eye', 'small', 'area', 'surround', 'skull', 'two', 'round', 'horn', 'top', 'head', 'tooth-lik', 'point', 'lower', 'side', 'skull', 'cubon', 'brown', 'snout', 'small', 'cubon', 'surviv', 'immens', 'skill', 'possess', 'wield', 'bone', 'carri', 'weapon', 'bone', 'allow', 'learn', 'bone', 'club', 'bonemerang', 'two', 'move', 'exclus', 'cubon', 'evolut', 'marowak', 'evolut', 'also', 'pokémon', 'capabl', 'use', 'thick', 'club', 'item', 'call', 'lone', 'pokémon', 'tendenc', 'keep', 'avoid', 'social', 'situat', 'due', 'trauma', 'caus', 'death', 'mother', 'cubon', 'often', 'weep', 'night', 'mourn', 'mother', 'cubon', 'cri', 'skull', 'wear', 'head', 'vibrat', 'emit', 'plaintiv', 'mourn', 'sound', 'night', 'full', 'moon', 'cri', 'said', 'especi', 'terribl', 'cubon', 'seem', 'recogn', 'mother', 'moon', 'howl', 'particular', 'sad', 'cri', 'attract', 'mandibuzz', 'natur', 'predat', 'cubon', 'live', 'rocki', 'area', 'usual', 'mountain', 'cave', 'also', 'inhabit', 'pokémon', 'tower', 'lavend', 'town', 'deceas', 'pokémon', 'buri', 'mourn']"
Marowak,5.2855294117647045,5.235624999999998,Ground,60,80,110,50,80,45,425,I,None,"['marowak', 'bipedal', 'pokémon', 'light', 'brown', 'skin', 'cream-colored', 'underside', 'two', 'small', 'claws', 'one', 'hand', 'serve', 'thumbs', 'one', 'large', 'nail', 'foot', 'make', 'toes', 'short', 'tail', 'small', 'spike', 'near', 'tip', 'marowak', 'head', 'composed', 'skull', 'wore', 'mask', 'longer', 'remove', 'skull', 'become', 'part', 'body', 'skull', 'two', 'pointed', 'spikes', 'back', 'similar', 'ears', 'tiny', 'nostrils', 'tip', 'snout', 'marowak', 'triangular', 'brown', 'eyes', 'also', 'located', 'skull', 'marowak', 'well', 'known', 'ferocity', 'bone', 'club', 'said', 'collect', 'hidden', 'graveyard', 'pre-evolution', 'cubone', 'known', 'pokémon', 'learn', 'bone', 'club', 'bonemerang', 'pokémon', 'capable', 'using', 'thick', 'club', 'item', 'upon', 'evolution', 'marowak', 'overcome', 'grief', 'mother', 'passing', 'ferocious', 'violent', 'marowak', 'adept', 'combatant', 'uses', 'bone', 'carries', 'weapon', 'boomerang', 'evolved', 'seeks', 'vengeance', 'natural', 'enemy', 'mandibuzz', 'prey', 'cubone', 'naturally', 'weak', 'timid', 'demeanor', 'marowak', 'also', 'recorded', 'pounding', 'boulders', 'bone', 'club', 'carries', 'order', 'tap', 'messages', 'others', 'lives', 'mountains', 'test', 'skills', 'alola', 'region', 'marowak', 'faced', 'abundance', 'natural', 'enemies', 'grass', 'pokémon', 'harsh', 'environment', 'led', 'bond', 'closely', 'friends', 'said', 'created', 'sort', 'sixth', 'sense', 'caused', 'take', 'new', 'form', 'alolan', 'marowak', 'body', 'black', 'pale', 'grey', 'eyes', 'dark', 'flamelike', 'mark', 'skull', 'eyes', 'compared', 'regular', 'marowak', 'squatter', 'thicker', 'body', 'alolan', 'marowak', 'relatively', 'thin', 'white', 'markings', 'resembling', 'shoulder', 'blades', 'vertebrae', 'hip', 'bones', 'visible', 'back', 'bone', 'alolan', 'marowak', 'uses', 'longer', 'one', 'regular', 'marowak', 'uses', 'customarily', 'mourns', 'companions', 'burying', 'dance', 'mourning', 'alolan', 'marowak', 'rubs', 'bone', 'wields', 'forehead', 'light', 'ends', 'green', 'flame', 'twirls', 'flaming', 'bone', 'specializes', 'attack', 'releases', 'weak', 'ball', 'flame', 'bone', 'relentlessly', 'pursue', 'foe', 'alolans', 'would', 'fear', 'conjurer', 'due', 'rarity', 'fearful', 'sight', 'dancing', 'bone', 'flames', 'spread', 'onto', 'opponent', 'impossible', 'put', 'water', 'alolan', 'marowak', 'known', 'pokémon', 'learn', 'shadow', 'bone']","['marowak', 'biped', 'pokémon', 'light', 'brown', 'skin', 'cream-color', 'undersid', 'two', 'small', 'claw', 'one', 'hand', 'serv', 'thumb', 'one', 'larg', 'nail', 'foot', 'make', 'toe', 'short', 'tail', 'small', 'spike', 'near', 'tip', 'marowak', 'head', 'compos', 'skull', 'wore', 'mask', 'longer', 'remov', 'skull', 'becom', 'part', 'bodi', 'skull', 'two', 'point', 'spike', 'back', 'similar', 'ear', 'tini', 'nostril', 'tip', 'snout', 'marowak', 'triangular', 'brown', 'eye', 'also', 'locat', 'skull', 'marowak', 'well', 'known', 'feroc', 'bone', 'club', 'said', 'collect', 'hidden', 'graveyard', 'pre-evolut', 'cubon', 'known', 'pokémon', 'learn', 'bone', 'club', 'bonemerang', 'pokémon', 'capabl', 'use', 'thick', 'club', 'item', 'upon', 'evolut', 'marowak', 'overcom', 'grief', 'mother', 'pass', 'feroci', 'violent', 'marowak', 'adept', 'combat', 'use', 'bone', 'carri', 'weapon', 'boomerang', 'evolv', 'seek', 'vengeanc', 'natur', 'enemi', 'mandibuzz', 'prey', 'cubon', 'natur', 'weak', 'timid', 'demeanor', 'marowak', 'also', 'record', 'pound', 'boulder', 'bone', 'club', 'carri', 'order', 'tap', 'messag', 'other', 'live', 'mountain', 'test', 'skill', 'alola', 'region', 'marowak', 'face', 'abund', 'natur', 'enemi', 'grass', 'pokémon', 'harsh', 'environ', 'led', 'bond', 'close', 'friend', 'said', 'creat', 'sort', 'sixth', 'sens', 'caus', 'take', 'new', 'form', 'alolan', 'marowak', 'bodi', 'black', 'pale', 'grey', 'eye', 'dark', 'flamelik', 'mark', 'skull', 'eye', 'compar', 'regular', 'marowak', 'squatter', 'thicker', 'bodi', 'alolan', 'marowak', 'rel', 'thin', 'white', 'mark', 'resembl', 'shoulder', 'blade', 'vertebra', 'hip', 'bone', 'visibl', 'back', 'bone', 'alolan', 'marowak', 'use', 'longer', 'one', 'regular', 'marowak', 'use', 'customarili', 'mourn', 'companion', 'buri', 'danc', 'mourn', 'alolan', 'marowak', 'rub', 'bone', 'wield', 'forehead', 'light', 'end', 'green', 'flame', 'twirl', 'flame', 'bone', 'special', 'attack', 'releas', 'weak', 'ball', 'flame', 'bone', 'relentlessli', 'pursu', 'foe', 'alolan', 'would', 'fear', 'conjur', 'due', 'rariti', 'fear', 'sight', 'danc', 'bone', 'flame', 'spread', 'onto', 'oppon', 'imposs', 'put', 'water', 'alolan', 'marowak', 'known', 'pokémon', 'learn', 'shadow', 'bone']"
Hitmonlee,5.620138888888892,5.462000000000005,Fighting,50,120,53,35,110,87,455,I,None,"['hitmonlee', 'humanoid', 'pokémon', 'ovoid', 'body', 'lacking', 'distinct', 'neck', 'head', 'upper', 'torso', 'almond-shaped', 'eyes', 'black', 'space', 'around', 'appears', 'lack', 'nose', 'mouth', 'primarily', 'brown', 'cream-colored', 'segmented', 'arms', 'legs', 'hand', 'three', 'fingers', 'foot', 'three', 'clawed', 'toes', 'soles', 'feet', 'ankles', 'circular', 'yellow', 'pads', 'hitmonlee', 'exclusively', 'male', 'species', 'female', 'counterpart', 'hitmonlee', 'legs', 'freely', 'contract', 'stretch', 'similar', 'coiled', 'spring', 'flexibility', 'allows', 'hitmonlee', 'run', 'lengthy', 'strides', 'gives', 'greater', 'reach', 'kicks', 'excellent', 'sense', 'balance', 'enables', 'kick', 'succession', 'position', 'battling', 'rubs', 'legs', 'relax', 'tight', 'muscles', 'rare', 'wild', 'primarily', 'found', 'dl|list', 'pokémon', 'habitat|urban', 'pokémon|urban', 'areas', 'number', 'kicking', 'moves', 'signature', 'moves', 'past', 'jump', 'kick', 'high', 'jump', 'kick', 'rolling', 'kick', 'mega', 'kick']","['hitmonle', 'humanoid', 'pokémon', 'ovoid', 'bodi', 'lack', 'distinct', 'neck', 'head', 'upper', 'torso', 'almond-shap', 'eye', 'black', 'space', 'around', 'appear', 'lack', 'nose', 'mouth', 'primarili', 'brown', 'cream-color', 'segment', 'arm', 'leg', 'hand', 'three', 'finger', 'foot', 'three', 'claw', 'toe', 'sole', 'feet', 'ankl', 'circular', 'yellow', 'pad', 'hitmonle', 'exclus', 'male', 'speci', 'femal', 'counterpart', 'hitmonle', 'leg', 'freeli', 'contract', 'stretch', 'similar', 'coil', 'spring', 'flexibl', 'allow', 'hitmonle', 'run', 'lengthi', 'stride', 'give', 'greater', 'reach', 'kick', 'excel', 'sens', 'balanc', 'enabl', 'kick', 'success', 'posit', 'battl', 'rub', 'leg', 'relax', 'tight', 'muscl', 'rare', 'wild', 'primarili', 'found', 'dl|list', 'pokémon', 'habitat|urban', 'pokémon|urban', 'area', 'number', 'kick', 'move', 'signatur', 'move', 'past', 'jump', 'kick', 'high', 'jump', 'kick', 'roll', 'kick', 'mega', 'kick']"
Hitmonchan,5.456249999999999,5.379818181818181,Fighting,50,105,79,35,110,76,455,I,None,"['hitmonchan', 'tan', 'humanoid', 'pokémon', 'exclusively', 'male', 'female', 'counterpart', 'five', 'blunt', 'protrusions', 'top', 'head', 'structures', 'resembling', 'pads', 'shoulders', 'appears', 'wearing', 'light', 'purple', 'tunic', 'kilt', 'well', 'red', 'boxing', 'gloves', 'light', 'purple', 'boxing', 'shoes', 'in-between', 'tunic', 'kilt', 'small', 'black', 'area', 'appearance', 'suggests', 'hitmonchan', 'specializes', 'punching', 'able', 'throw', 'punches', 'quick', 'seen', 'naked', 'eye', 'punching', 'corkscrew', 'motion', 'even', 'capable', 'drilling', 'concrete', 'however', 'hitmonchan', 'requires', 'break', 'every', 'three', 'minutes', 'fighting', 'despite', 'need', 'frequent', 'breaks', 'unwavering', 'spirit', 'never', 'give', 'difficult', 'situation', 'past', 'claimed', 'mach', 'punch', 'vacuum', 'wave', 'signature', 'moves', 'usually', 'found', 'urban', 'areas', 'rarely', 'seen', 'wild']","['hitmonchan', 'tan', 'humanoid', 'pokémon', 'exclus', 'male', 'femal', 'counterpart', 'five', 'blunt', 'protrus', 'top', 'head', 'structur', 'resembl', 'pad', 'shoulder', 'appear', 'wear', 'light', 'purpl', 'tunic', 'kilt', 'well', 'red', 'box', 'glove', 'light', 'purpl', 'box', 'shoe', 'in-between', 'tunic', 'kilt', 'small', 'black', 'area', 'appear', 'suggest', 'hitmonchan', 'special', 'punch', 'abl', 'throw', 'punch', 'quick', 'seen', 'nake', 'eye', 'punch', 'corkscrew', 'motion', 'even', 'capabl', 'drill', 'concret', 'howev', 'hitmonchan', 'requir', 'break', 'everi', 'three', 'minut', 'fight', 'despit', 'need', 'frequent', 'break', 'unwav', 'spirit', 'never', 'give', 'difficult', 'situat', 'past', 'claim', 'mach', 'punch', 'vacuum', 'wave', 'signatur', 'move', 'usual', 'found', 'urban', 'area', 'rare', 'seen', 'wild']"
Lickitung,5.599999999999999,5.646,Normal,90,55,75,60,75,30,385,I,None,"['lickitung', 'bipedal', 'pokémon', 'round', 'body', 'thick', 'powerful', 'tail', 'soft', 'pink', 'skin', 'curved', 'yellow', 'lines', 'belly', 'yellow', 'ring', 'marking', 'knee', 'thumb-like', 'claw', 'hand', 'single', 'large', 'nail', 'foot', 'yellow', 'spot', 'palms', 'soles', 'feet', 'beady', 'eyes', 'long', 'prehensile', 'tongue', 'tongue', 'likely', 'connected', 'tail', 'twitches', 'tongue', 'pulled', 'feet', 'inches', 'meters', 'lickitung', 'tongue', 'twice', 'long', 'body', 'sticky', 'smelly', 'saliva', 'coats', 'tongue', 'causes', 'tingling', 'sensation', 'touched', 'cause', 'rashes', 'cleaned', 'used', 'capturing', 'prey', 'exploring', 'environment', 'cleaning', 'however', 'questionable', 'saliva', 'clean', 'first', 'place', 'whatever', 'cleans', 'lingering', 'smell', 'lickitung', 'remembers', 'things', 'texture', 'taste', 'although', 'apparently', 'dislikes', 'sour', 'things', 'tongue', 'dexterous', 'powerful', 'enough', 'lift', 'people', 'seen', 'anime', 'lickitung', 'found', 'dl|list', 'pokémon', 'habitat|grassland', 'pokémon|grassy', 'plains', 'meadows']","['lickitung', 'biped', 'pokémon', 'round', 'bodi', 'thick', 'power', 'tail', 'soft', 'pink', 'skin', 'curv', 'yellow', 'line', 'belli', 'yellow', 'ring', 'mark', 'knee', 'thumb-lik', 'claw', 'hand', 'singl', 'larg', 'nail', 'foot', 'yellow', 'spot', 'palm', 'sole', 'feet', 'beadi', 'eye', 'long', 'prehensil', 'tongu', 'tongu', 'like', 'connect', 'tail', 'twitch', 'tongu', 'pull', 'feet', 'inch', 'meter', 'lickitung', 'tongu', 'twice', 'long', 'bodi', 'sticki', 'smelli', 'saliva', 'coat', 'tongu', 'caus', 'tingl', 'sensat', 'touch', 'caus', 'rash', 'clean', 'use', 'captur', 'prey', 'explor', 'environ', 'clean', 'howev', 'question', 'saliva', 'clean', 'first', 'place', 'whatev', 'clean', 'linger', 'smell', 'lickitung', 'rememb', 'thing', 'textur', 'tast', 'although', 'appar', 'dislik', 'sour', 'thing', 'tongu', 'dexter', 'power', 'enough', 'lift', 'peopl', 'seen', 'anim', 'lickitung', 'found', 'dl|list', 'pokémon', 'habitat|grassland', 'pokémon|grassi', 'plain', 'meadow']"
Koffing,5.480925925925927,5.4705,Poison,40,65,95,60,45,35,340,I,None,"['koffing', 'spherical', 'pokémon', 'filled', 'toxic', 'gases', 'vacant', 'eyes', 'wide', 'mouth', 'usually', 'two', 'pointed', 'teeth', 'upper', 'jaw', 'however', 'full', 'set', 'teeth', 'seen', 'anime', 'face', 'cream-colored', 'skull-and-crossbones', 'marking', 'several', 'geyser-like', 'protrusions', 'usually', 'release', 'mustard-colored', 'gas', 'cover', 'pokémon', 'body', 'purple', 'skin', 'thin', 'inflation', 'cause', 'explode', 'koffing', 'creates', 'gases', 'within', 'body', 'mixing', 'toxins', 'garbage', 'produces', 'gas', 'higher', 'temperatures', 'gases', 'malodorous', 'cause', 'sniffles', 'coughs', 'teary', 'eyes', 'around', 'gases', 'also', 'lighter', 'air', 'allowing', 'koffing', 'hover', 'agitated', 'creates', 'toxic', 'gas', 'expels', 'holes', 'body', 'shown', 'anime', 'koffing', 'gas', 'ignited', 'fire', 'electricity', 'koffing', 'often', 'found', 'urban', 'areas']","['kof', 'spheric', 'pokémon', 'fill', 'toxic', 'gase', 'vacant', 'eye', 'wide', 'mouth', 'usual', 'two', 'point', 'teeth', 'upper', 'jaw', 'howev', 'full', 'set', 'teeth', 'seen', 'anim', 'face', 'cream-color', 'skull-and-crossbon', 'mark', 'sever', 'geyser-lik', 'protrus', 'usual', 'releas', 'mustard-color', 'ga', 'cover', 'pokémon', 'bodi', 'purpl', 'skin', 'thin', 'inflat', 'caus', 'explod', 'kof', 'creat', 'gase', 'within', 'bodi', 'mix', 'toxin', 'garbag', 'produc', 'ga', 'higher', 'temperatur', 'gase', 'malodor', 'caus', 'sniffl', 'cough', 'teari', 'eye', 'around', 'gase', 'also', 'lighter', 'air', 'allow', 'kof', 'hover', 'agit', 'creat', 'toxic', 'ga', 'expel', 'hole', 'bodi', 'shown', 'anim', 'kof', 'ga', 'ignit', 'fire', 'electr', 'kof', 'often', 'found', 'urban', 'area']"
